Country,Year,Psychiatrists,Nurses,Social_workers,Psychologists
Afghanistan,2016,0.231,0.098,,0.296
Albania,2016,1.471,6.876,1.06,1.231
Angola,2016,0.057,0.66,0.022,0.179
Antigua and Barbuda,2016,1.001,7.005,4.003,
Argentina,2016,21.705,,,222.572
Armenia,2016,3.84,11.245,0.274,0.788
Azerbaijan,2016,3.452,6.717,0.114,1.165
Bangladesh,2016,0.13,0.873,,0.124
Belarus,2016,13.504,,,5.514
Belize,2016,1.392,3.34,,1.113
Bhutan,2016,0.508,0.127,,
Bolivia (Plurinational State of),2016,1.128,,,
Brazil,2016,3.165,34.948,6.608,12.368
Brunei Darussalam,2016,1.197,15.088,0.239,5.029
Bulgaria,2016,7.203,17.736,0.78,1.867
Burkina Faso,2016,0.039,0.635,0.011,0.022
Cambodia,2016,0.387,0.277,,7.089
Chad,2016,0.007,0.021,0.007,
Chile,2016,6.97,1.88,,
Colombia,2016,1.835,0,,
Congo,2016,0.08,0.5,0.02,0.02
Cook Islands,2016,5.731,11.462,17.193,11.462
Costa Rica,2016,3.931,5.699,76.957,142.018
C̫te d'Ivoire,2016,0.13,0.381,,
Croatia,2016,11.095,41.856,1.298,4.367
Cuba,2016,9.056,8.899,1.335,31.061
Dominican Republic,2016,2.28,,0.294,7.598
Ecuador,2016,0.458,0.056,0.019,7.662
Egypt,2016,1.6,4.799,0.448,0.256
El Salvador,2016,0.887,,0.301,2.075
Eritrea,2016,,2.166,0.041,0.083
Estonia,2016,16.188,23.484,0.532,6.46
Fiji,2016,0.224,1.457,0.56,0.56
Gabon,2016,0.259,0.518,0.104,0.777
Gambia,2016,0.101,0.303,0.101,
Georgia,2016,6.706,5.922,,2.328
Ghana,2016,0.058,7.733,,0.065
Greece,2016,5.803,12.748,3.459,8.781
Grenada,2016,1.872,0.936,2.808,
Guatemala,2016,0.492,1.071,0.006,46.147
Guinea,2016,0.025,,0.008,0.008
Guinea-Bissau,2016,,0.791,0.169,0.113
Guyana,2016,0.911,,,0
Haiti,2016,0.075,0.233,0.373,0.56
Hungary,2016,11.079,33.739,,2.484
India,2016,0.292,0.796,0.065,0.069
Indonesia,2016,0.31,2.518,,0.175
Israel,2016,9.87,,,88.089
Japan,2016,11.867,83.805,8.328,3.037
Jordan,2016,1.125,3.297,0.218,1.266
Kenya,2016,0.184,,,
Kyrgyzstan,2016,1.688,7.365,,0.409
Liberia,2016,0.044,6.401,1.4,
Lithuania,2016,18.452,49.763,,15.86
Madagascar,2016,0.058,0.314,0.05,0.062
Malaysia,2016,1.048,6.838,,1.029
Mali,2016,0.029,0.092,,0.011
Mexico,2016,0.207,2.239,0.53,3.459
Monaco,2016,31.326,83.536,102.592,53.515
Mongolia,2016,4.031,4.199,0.101,0.101
Montenegro,2016,8.278,18.307,1.114,
Morocco,2016,0.839,2.451,0.646,0.575
Mozambique,2016,0.046,,0.018,0.389
Myanmar,2016,0.384,0.321,0.013,
Namibia,2016,0.371,0.907,0.206,1.443
Nauru,2016,,8.881,,
Nepal,2016,0.356,0.558,,0.523
New Zealand,2016,28.54,75.132,,
Niger,2016,0.014,0.126,0.028,0.019
Norway,2016,48.04,,,73.522
Panama,2016,4.031,3.452,9.221,7.331
Peru,2016,2.948,5.995,,9.507
Philippines,2016,0.518,,,0.885
Poland,2016,24.176,30.916,,16.346
Qatar,2016,2.712,9.933,0.115,1.413
Republic of Korea,2016,5.793,13.662,8.404,1.591
Romania,2016,5.665,18.71,0.503,1.479
Rwanda,2016,0.06,1.376,0.172,0.387
Saint Lucia,2016,0.564,50.788,0.564,
Samoa,2016,1.548,1.548,1.548,
Sao Tome and Principe,2016,0.511,4.602,0.511,3.068
Saudi Arabia,2016,1.321,10.66,3.955,2.034
Senegal,2016,0.2,0.267,0.067,0.02
Seychelles,2016,2.134,8.534,,3.2
Singapore,2016,4.191,,,
Slovenia,2016,11.953,36.727,1.976,9.302
South Africa,2016,1.521,,,
South Sudan,2016,0.025,0.017,,0.261
Suriname,2016,1.265,16.63,0.362,0.542
Sweden,2016,20.863,50.566,,
Syrian Arab Republic,2016,0.368,1.068,0.801,1.068
Tajikistan,2016,1.392,1.497,,
Thailand,2016,0.721,7.418,0.836,1.749
Timor-Leste,2016,0.081,1.37,1.612,0.081
Togo,2016,0.054,0.27,0.054,0.404
Tonga,2016,2.821,16.923,,1.88
Turkey,2016,1.637,150.251,1.643,2.537
Uganda,2016,0.082,2.242,0.037,0.037
Ukraine,2016,6.93,,,
United Arab Emirates,2016,1.649,4.37,0.36,0.765
United States of America,2016,10.542,4.283,60.338,29.864
Uruguay,2016,14.134,,,
Uzbekistan,2016,2.612,9.214,,0.09
Vanuatu,2016,0.378,4.535,0.378,0.756
Yemen,2016,0.201,0.323,0.056,0.409
Zambia,2016,0.056,1.429,0.019,0.031
Zimbabwe,2016,0.095,3.486,0.634,0.057
